id1,id2,label
1211,789,False
1211,977,False
1235,5386,False
1262,1918,False
1691,93,False
2288,1924,False
275,555,False
2828,1315,False
287,257,False
3488,4185,False
3827,1828,False
3962,1222,False
98,2414,False
1059,201,False
1647,4150,False
1806,3022,False
2493,1130,False
2661,1100,False
267,3135,False
3246,3674,False
3444,3070, True
3990,5025,False
438,4112,False
438,4150,False
2080,4278,False
2236,1640,False
2725,2975,False
3022,2947,True
3724,3572,False
4120,1448,False
4558,4310,False
4615,2066,False
574,2514,False
655,5278,False
1328,1150,False
1392,4246,False
1735,2886,False
1380,94,False
1261,971,True
632,3797,True
2696,4838,False
3441,5062,True
301,4898,True
3644,1090,False
1274,4185,True
1682,1579,False
1838,2181,True
203,2679,True
2524,4379,False
