3753,3527,True
4696,2771,True
462,4478,False
1932,5048,True
415,2270,True
204,959,True
2097,4801,True
1194,4709,True
1591,2644,True
444,4312,True
2526,5081,True
226,104,False
1194,4652,True
612,4040,True
61,4478,False
1461,807,True
345,5005,False
214,3147,True
138,4336,False
158,2678,True
2524,4379,False
2655,1068,False
4171,5238,True
2783,2127,False
616,4799,False
4031,5215,True
2838,2947,False
1047,1732,True
2830,3150,True
2056,3390,False
1211,789,False
1211,977,False
1235,5386,False
1262,1918,False
1691,93,False
2288,1924,False
275,555,False
2828,1315,False
287,257,False
3488,4185,False
3827,1828,False
3962,1222,False
98,2414,False
1059,201,False
1647,4150,False
1806,3022,False
2493,1130,False
2661,1100,False
267,3135,False
3246,3674,False
